component--field-formatter href,Organization Name,Location,Location 1,Description,CB Rank ,Operating Status,Founded Date,Full Description,Number of Articles,Phone Number,Contact Email,LinkedIn,Facebook,Twitter,Website,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Employees
https://www.crunchbase.com/organization/esol-education,Esol Education,Dubai,Dubai,Esol Education specializes in the establishment and management of high quality international schools around the Middle East .,�,Active,�,"Founded in 1976, Esol Education specializes in the establishment and management of high quality international schools around the Middle East and Mediterranean. Headquartered in Dubai, UAE, with branch offices in Hong Kong, Cairo and Nicosia, Esol Education currently serves over 10,000 students, operating a total of nine international schools in Dubai, Abu Dhabi, Cairo, Nicosia, and Aley.

Each of the Esol Education schools follows an American or British curriculum and is accredited by the Middle States Association of Colleges and Schools (MSA) and/or the Council of International Schools (CIS). Seven Esol schools currently offer the International Baccalaureate (IB) Diploma Programme with some offering the International Baccalaureate Primary Years Program (IBPYP).

Esol Education schools enjoy the benefits of experienced leadership and management, excellent facilities, and caring and dedicated teachers. Since its inception, Esol�s focus has always been the attainment of the highest standards of educational excellence.",�,+961 5 556 665,info@esoleducation.com,https://www.linkedin.com/company/educational-services-overseas-limited-esol-,https://www.facebook.com/esoleducation,https://www.twitter.com/esoleducation1,http://www.esoleducation.com/,�,�,�,�,�,1001-5000
https://www.crunchbase.com/organization/one-attempt-fzc,One Attempt FZ LLC,Dubai,Dubai,"GMAT, SAT, ACT, GRE, UCAT Test Prep Training Center in Dubai & Abu Dhabi",�,Active,2008,"GMAT, SAT, ACT, GRE, UCAT Test Prep Training Center in Dubai & Abu Dhabi
One Attempt FZ LLC is the exclusive franchisee of Jamboree Education in Dubai and Abu Dhabi, a proven and trusted name in the international test preparations for GMAT, SAT, ACT, GRE, UCAT training and admissions consulting. At One Attempt, we help you succeed in planning and pursuing your dream career by providing appropriate career advice, the best test preparation techniques, and a proven track-record of application support.

In addition, One Attempt is a Pearson VUE Authorized Test Centre, offering official testing services for UCAT and various other exams. One Attempt methodology defines a researched, comprehensive syllabus band for each of these exams, ensuring the best preparation for each specific test. This focused approach has led to One Attempt students achieving some of the highest scores in the GMAT, GRE, SAT, ACT, and UCAT across the UAE.

Our Admissions Consulting Cell, since its inception, has demonstrated consistently exceptional results. We have, with a high degree of success, helped place our students at leading universities and business schools across the globe, including Harvard, Wharton, Stanford, MIT, London Business School, Oxford, Cambridge, Columbia, Yale, Cornell, IIMs, and INSEAD.",�,+971 55 163 3334,info@1attempt.com,https://www.linkedin.com/company/1attempt1,https://www.facebook.com/1Attempt/,https://twitter.com/1_attempt,https://www.1attempt.com/,Private,�,Nov-50,�,�,51-100
https://www.crunchbase.com/organization/the-emirates-academy-of-hospitality-management,The Emirates Academy of Hospitality Management,Dubai,Dubai,The Emirates Academy of Hospitality Management is an educational institution that offers business management courses in hospitality.,�,Active,2001,�,�,+971-4-315 5555,info@emiratesacademy.edu,https://www.linkedin.com/school/the-emirates-academy/,https://www.facebook.com/EmiratesAcademy/,https://twitter.com/emiratesacademy,http://www.emiratesacademy.edu/,Private,Graduate University,�,On Campus,1,Nov-50
https://www.crunchbase.com/organization/rak-college-of-dental-sciences,RAK College of Dental Sciences,Ras Al Khaimah,Ras Al Khaimah,RAKCODS - A constituent College of RAK Medical and Health Science University.,�,Active,2007,"RAK college of Dental Sciences enjoys a leading position as a seat of learning amongst the reputed institutions of the United Arab Emirates on account of its quality of education, state-of-the-art building, engulfed with rich cultural heritage of Ras al Khaimah and opportunities being provided to a multitude of our youth coming from over 25 nationalities around the world for attaining quality dental education. It is indeed a matter of great satisfaction for me to note that significant improvement has been made in the sphere of imparting higher dental education at the RAK College of Dental Sciences, RAK Medical & Health Sciences University.

To prepare graduates who have sound knowledge and clinical skills in the dental profession. RAKCODS is committed to contribute in the advancement of knowledge by supporting research conducted by its faculty and students, following ethical practices, in the process of lifelong learning.",�,+971 7 2222593,admissions@rakcods.com,https://www.linkedin.com/company/rak-college-of-dental-sciences,https://www.facebook.com/pg/rakcods,https://twitter.com/rakcods,https://rakcods.com/,�,�,�,�,�,101-250
https://www.crunchbase.com/organization/gulf-medical-university,Gulf Medical University,Al Ajman,Ajman,"Gulf Medical University is focuses in the three core areas of Medical Education, Healthcare and Research.",�,Active,1998,"Gulf Medical University (GMU), Ajman, is one of the first private medical universities in the Middle East region. It is owned and run by Thumbay Group, a diversified international business conglomerate headquartered at DIFC � Dubai. Mr. Thumbay Moideen, Founder President of Thumbay Group had established the Gulf Medical College (GMC) in 1998, as an institution offering undergraduate programs in Medicine, Physiotherapy, Dentistry and Pharmacy. The institution became a full-fledged medical university � the Gulf Medical University in 2008 following a Decree by H.E. Sheikh Nahyan Bin Mubarak Al Nahyan, the Minister of Higher Education and Scientific Research, UAE.

The Ministry of Higher Education & Scientific Research has recognized GMU as a center of excellence and has permitted the University to offer a range of courses including undergraduate studies in medicine, biomedical sciences, dentistry, pharmacy, physiotherapy and different courses in health sciences. Apart from being the first medical institution in the region which offers admissions to both boys and girls of all nationalities, the Gulf Medical University has also earned the reputation of providing programs that had been introduced in the region for the first time. GMU is first in the region to launch unique programs like Masters in Human Reproductive Biology, Bachelor of Biomedical Sciences and Masters in Physical Therapy.

The focus of the Gulf Medical University is in the three core areas of Medical Education, Healthcare and Research. The university has infrastructure and facilities which are at par with international standards. Apart from the academic programs, Gulf Medical University is at the forefront of Continuing Medical Education and Continuing Professional Development Programs. The university has also been organizing international and regional conferences and symposia.",�,+971 6 7431333,�,https://www.linkedin.com/school/gulf-medical-university,https://www.facebook.com/pg/gulfmedicaluniversity,https://twitter.com/gulfmedicaluniv,https://gmu.ac.ae/,�,�,�,�,�,�
https://www.crunchbase.com/organization/gcc-online-university,GCC Online University,Dubai,Dubai,GCC Online University is a well known and reliable source of getting your academic needs fulfilled,�,Closed,19-Jan-00,GCC Online University offers online degrees from preeminent accredited universities to students. Find best online degree programs from finest online universities. Gcc Online University lets you obtain an worldwide distinguished online degree without attending any lessons or giving any exams.,�,�,�,,,,http://www.gcconlineuniversity.com/,Public,Graduate University,5001-10000,Online,�,�
https://www.crunchbase.com/organization/rak-medical-health-sciences-university,RAK Medical & Health Sciences University,Ras Al Khaimah,Ras Al Khaimah,"RAKMHSU is committed, through its offering of academic programs in the medical and health sciences fields, to prepare graduat",�,Active,2006,"RAK Medical & Health Sciences University is the Ras Al Khaimah Human Development Foundation (RAK-HDF) under the patronage of His Highness Sheikh Saud Bin Saqr Al Qasimi, Supreme Council member, Ruler of Ras Al Khaimah and Chancellor of the University, with the vision to be the leading Medical and Health Sciences University in the UAE.",�,+971 7 2269000,admissions@rakmhsu.ac.ae,https://www.linkedin.com/school/rak-medical-&-health-sciences-university/,https://www.facebook.com/pg/rakmhsu.connect/,https://twitter.com/rakmhsuz,http://www.rakmhsu.com/,�,�,�,�,�,251-500
https://www.crunchbase.com/organization/cornerstone-college-of-international-studies,Cornerstone College of International Studies,Sharjah,Sharjah,"Cornerstone College of International Studies offers bachelors, masters, and doctoral programs.",�,Active,�,"CCIS provides an unmatched learning experience with four campuses, well equipped with all facilities such as libraries, IT laboratories, classrooms and conference rooms. The college serves as a gateway to gain international qualifications from foreign universities in different countries such as UK, Canada, and India. CCIS is affiliated to top universities like the Chichester University, Swiss School of Business and Management, Evergreen College in Canada and awarding bodies such as BTEC Pearson UK and OTHM UK.",�,+971 55 884 8537,info@ccisuae.com,,,,https://www.ccisuae.com/,Private,Four Year University,251-500,On Campus,�,101-250
https://www.crunchbase.com/organization/happy-mandarin,Happy Mandarin Chinese Language Training,Dubai,Dubai,Happy Mandarin is the fastest growing Chinese Language institute in Dubai that offers Chinese language education for children and adults.,�,Active,5-Jul-05,"Happy Mandarin is the fastest growing Chinese Language institute in Dubai that offers immersive Chinese language education for children and adults. They employ innovative techniques to ensure that students have a holistic experience through which they can easily learn to read, understand and communicate effectively in Mandarin.",�,9.71505E+11,info@happymandarin.ae,,https://www.facebook.com/happymandarinae/,https://twitter.com/happymandarinae,https://happymandarin.ae/,Private,Bootcamp,101-250,Online and On Campus,�,Nov-50
https://www.crunchbase.com/organization/delhi-private-school-sharjah,Delhi Private School Sharjah,Sharjah,Sharjah,Delhi Private School Sharjah provides a unique system of creative education with a progressive approach and commitment to excellence.,�,Active,�,Delhi Private School Sharjah provides a unique system of creative education with a progressive approach and commitment to excellence.,�,-5344387,�,,,,http://website.dpssharjah.com/,�,�,�,�,�,�
https://www.crunchbase.com/organization/woodlempark,Woodlem Park,Dubai,Dubai,Woodlem Park is a group of international educational institutions.,"1,512,292",Active,2017,�,�,�,�,https://www.linkedin.com/company/woodlemparkschool/,https://www.facebook.com/woodlemparkschool,https://twitter.com/woodlempark/,https://www.woodlempark.ae/,Public,�,�,On Campus,�,251-500
https://www.crunchbase.com/organization/al-ghurair-university,Al Ghurair University,Dubai,Dubai,Al Ghurair University is a school in Dubai.,"1,644,214",Active,1999,"Al Ghurair University is one of the private academic institutions. They offers undergraduate and postgraduate programs in Engineering, Business, Education, Media and Law. Their educational programs of the University are aimed at developing students� intellectual, critical thinking, practical skills and creative abilities to enhance learning capability and employability of graduates.",�,+971  4 4200223,admissions@agu.ac.ae,https://www.linkedin.com/school/al-ghurair-university/,https://www.facebook.com/agudubai,https://www.twitter.com/agudubai,http://www.agu.ae/,�,�,101-250,�,1,�
https://www.crunchbase.com/organization/dubai-flower-centre,Dubai Flower Centre,Dubai,Dubai,Gift flowers with same day delivery with our flower shop in Dubai. Order exotic flowers at our cheap flower delivery services for birthdays.,"1,647,031",Closed,�,�,1,�,�,,,,https://arabianpetals.com/,�,�,�,�,�,�
https://www.crunchbase.com/organization/hamdan-bin-mohammed-smart-university,Hamdan Bin Mohammed Smart University,Dubai,Dubai,"HBMSU offers many academic programs by three e-schools of Business & Quality Management, Health & Environmental Studies & e-Education.","1,705,849",Active,2002,�,�,800 333 000,inquiries@hbmsu.ac.ae,https://www.linkedin.com/school/hamdan-bin-mohammed-smart-university/about/,https://www.facebook.com/HBMSU,https://www.twitter.com/HBMSU,https://www.hbmsu.ac.ae/,�,�,�,�,�,51-100
https://www.crunchbase.com/organization/mis-academy,MIS Academy,Dubai,Dubai,MIS Academy is dedicated to excellence in gynecological surgery and offering high-quality training on minimally invasive surgery.,�,Active,2017,"MIS Academy is dedicated to excellence in gynecological surgery, offering high-quality training and leading scientific events on minimally invasive surgery.",�,+971 4 286 6313,info@mis-academy.com,https://www.linkedin.com/company-beta/11189262,https://www.facebook.com/MISAcademy1/,https://twitter.com/MISacademy1,https://mis-academy.com/,Private,�,�,Online and On Campus,�,10-Jan
https://www.crunchbase.com/organization/sanderford-university,Sanderford University,Dubai,Dubai,"At Sanderford, our vision is to maintain leading position as online education leaders.","1,823,434",Closed,�,"Sanderford University is an accredited online university that delivers best online degree program, offering user friendly interface of classrooms according to your preference. As a Sanderford University student you don�t need to compromise your personal commitment with your university life.

The mission of Sanderford University is making sure you have the access to quality education even if you have the job and family obligations. Our staff understands that adult students have other obligations as well and they are always there to help you in achieving your personal and professional growth.",�,1.18443E+11,care@sanderforduniversity.org,,https://www.facebook.com/SanderfordUniversityOnline/,https://twitter.com/sanderforduniv,http://www.sanderforduniversity.org/,Private (Non-Profit),Four Year University,�,Online,�,�
https://www.crunchbase.com/organization/royal-linguistics-academy,Royal Linguistics Academy,Dubai,Dubai,"Learn English Online in UAE, Qatar, Saudi Arabia, Bahrain, Kuwait and Oman. The best Online Institute for IELTS and TOEFL Preparation.","1,991,409",Active,2014,�,�,�,�,,https://www.facebook.com/myroyalacademy,https://www.twitter.com/myroyalacademy,http://www.myroyalacademy.com/,�,�,251-500,�,�,10-Jan
https://www.crunchbase.com/organization/alyasat-private-school,AlYasat Private School,Abu Dhabi,Abu Dhabi,"AlYasat Private School is an inspirational, leading-edge international school dedicated to nurturing outstanding role models.",�,Active,�,"AlYasat Private School is an inspirational, leading-edge international school dedicated to nurturing outstanding role models, informed global citizens and responsible leaders of the future.",�,+971 2 641 2300,�,,https://www.facebook.com/Al-Yasat-Private-School-290582434380265/,https://twitter.com/AlYasatPvtSch,https://www.alyasat-school.com/en/,�,�,�,�,�,�
https://www.crunchbase.com/organization/arab-world-institute,Arab World Institute,Dubai,Dubai,Tel: 042500251|Fax: 042501548 The AWI (Arab World Institute) Offer a long list of accredited training solutions and certification programs.,�,Active,13-Jan-14,�,2,+971 4 250 0251,sales@awidubai.com,https://www.linkedin.com/company/arab-world-institute,https://www.facebook.com/arabworldinstitute,https://www.twitter.com/awi_uae,http://www.arabworldinstitute.com/,�,�,501-1000,�,�,�
