Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,CB Rank (Funding Round),component--field-formatter href 3,,link-accent 5,link-accent 7
Seed Round - Fine Diner,https://www.crunchbase.com/organization/fine-diner,Fine Diner,Seed,"$150,000 ",28-Apr-22,Seed,�,Yes,Fine Diner develops food delivery brands.,Delivery Service,�,"$150,000 ",Seed,1,Faisal Alabdelsalam,1,"21,164",https://finediner.co/,,Dubai,United Arab Emirates
Pre Seed Round - Acme Labs,https://www.crunchbase.com/organization/acme-labs-34db,Acme Labs,Pre-Seed,�,30-Mar-22,Seed,�,Yes,"Acme Labs is a member of AcmeDAO - an identity network making crypto easy, safe & social",Blockchain,�,�,Seed,1,AlphaGrep,2,"21,425",https://www.acmedao.com/,,Dubai,United Arab Emirates
Debt Financing - Udenz,https://www.crunchbase.com/organization/udenz,Udenz,Debt Financing,"$150,000 ",4-Feb-22,�,�,No,Udenz is a dental healthcare engagement platform for dentists and patients.,Dental,$1M to $10M,"$353,000 ",�,2,Global Ventures,1,"21,651",https://udenz.ae/,,Dubai,United Arab Emirates
Seed Round - Shorages,https://www.crunchbase.com/organization/shorages,Shorages,Seed,"$700,000 ",11-Jan-22,Seed,�,Yes,Shorages provides on-demand ecommerce fulfillment & distribution services.,E-Commerce,�,"$700,000 ",Seed,1,Mayfair Holdings,1,"21,846",https://www.shorages.com/,,Dubai,United Arab Emirates
Seed Round - School of Humanity,https://www.crunchbase.com/organization/school-of-humanity,School of Humanity,Seed,�,29-Jun-22,Seed,�,Yes,School of Humanity is an platform of online high school.,Education,�,�,Seed,1,Education in Motion,1,"23,178",https://sofhumanity.com/,,Dubai,United Arab Emirates
Venture Round - SimpliFi,https://www.crunchbase.com/organization/simplifi-2fb5,SimpliFi,Venture - Series Unknown,"$5,100,000 ",20-Dec-21,�,�,Yes,SimpliFi is on a mission to democratize payments by building the leading Cards as a Service (CaaS) platform for MENA and Pakistan.,Financial Services,�,"$5,100,000 ",�,2,4DX Ventures,4,"23,608",https://simplifipay.com/,,Dubai,United Arab Emirates
Pre Seed Round - The Pantry Delivery Co LLC,https://www.crunchbase.com/organization/the-pantry-delivery-co-llc,The Pantry Delivery Co LLC,Pre-Seed,"$60,000 ",25-Oct-20,Seed,"$1,000,000 ",Yes,Unlock your workplace pantry- The Pantry is an affordable solutions for SME's to unlock simple menus for their team at the workplace.,Food and Beverage,�,"$60,000 ",Seed,1,Khaled Bushnaq,2,"24,994",https://thepantry.app/,,Dubai,United Arab Emirates
Pre Seed Round - Flashy,https://www.crunchbase.com/organization/flashy-10bc,Flashy,Pre-Seed,"$400,000 ",21-Mar-22,Seed,�,Yes,Flashy is a sophisticated AI-powered content solution tailor-made for brands.,Digital Marketing,�,"$400,000 ",Seed,1,TA Ventures,1,"26,898",https://www.flashy.ae/,,Dubai,United Arab Emirates
Grant - Takalam,https://www.crunchbase.com/organization/takalam,Takalam,Grant,�,1-Jan-21,�,�,No,Takalam is an online counseling platform for a digital solution for mental well-being.,Health Care,Less than $1M,"$1,000,000 ",Seed,2,Abu Dhabi Investment Office (ADIO),1,"28,731",https://takalamhere.com/,,Abu Dhabi,United Arab Emirates
Grant - Talysis Education,https://www.crunchbase.com/organization/talysis-education,Talysis Education,Grant,"$1,400 ",25-Aug-22,�,�,No,Talysis Education is a data company focusing on iterative instructional design for educators and education providers.,Analytics,�,"$1,400 ",�,1,Sheraa Sharjah,1,"30,348",https://talysis.xyz/,,Dubai,United Arab Emirates
Pre Seed Round - Zeekeez,https://www.crunchbase.com/organization/zeekeez,Zeekeez,Pre-Seed,"$150,000 ",1-Jan-22,Seed,"$1,500,000 ",Yes,Zeekeez is the 1st UAE�s All-In-One Property Portal with unprecedented user experience and innovative features.,Financial Services,�,"$150,000 ",Seed,1,Confidential Confidential,1,"31,718",https://www.zeekeez.com/,,Dubai,United Arab Emirates
Pre Seed Round - Ziq,https://www.crunchbase.com/organization/ziq,Ziq,Pre-Seed,�,8-Mar-22,Seed,�,Yes,"Payments, Financial Services, E-Commerce",E-Commerce,�,�,Seed,1,FasterCapital,1,"32,359",https://ziqpay.com/,,Dubai,United Arab Emirates
Seed Round - QIDZ LLC,https://www.crunchbase.com/organization/qidz-llc,QIDZ LLC,Seed,�,19-Apr-22,Seed,�,Yes,"QiDZ is a mobile platform that allows parents to find, plan, and book kid-friendly activities.",Apps,$1M to $10M,"$1,878,615 ",Seed,7,The Cairo Angels Syndicate Fund,1,"32,615",http://www.qidz.com/,,Dubai,United Arab Emirates
Seed Round - Whatfoodsmenu,https://www.crunchbase.com/organization/whatfoodsmenu,Whatfoodsmenu,Seed,"$35,000 ",1-Apr-22,Seed,"$50,000 ",Yes,"Whatfoodsmenu is a marketplace and online ordering platform for restaurants, cafes, cloud kitchens, and food outlets.",Food Delivery,�,"$85,000 ",Seed,2,Musa Bin Adi,1,"32,880",https://whatfoodsmenu.com/,,Dubai,United Arab Emirates
Venture Round - WakeCap Technologies,https://www.crunchbase.com/organization/wakecap-technologies,WakeCap Technologies,Venture - Series Unknown,�,11-Apr-22,�,�,Yes,WakeCap is an IoT-based enterprise solution to improve safety & productivity in the construction site,Construction,�,"$2,460,000 ",�,8,Saudi Aramco Entrepreneurship Ventures,1,"33,935",http://www.wakecap.com/,,Dubai,United Arab Emirates
Seed Round - Shoora Technologies,https://www.crunchbase.com/organization/shoora-technologies,Shoora Technologies,Seed,"$1,000,000 ",8-Jul-22,Seed,�,Yes,An IOT Start-up providing cutting edge solution for Fleet Management and Video Telematics,Information Technology,�,"$1,000,000 ",Seed,1,Sumeru Global,1,"33,956",https://shoora.com/,,Dubai,United Arab Emirates
Seed Round - Distichain,https://www.crunchbase.com/organization/distichain,Distichain,Seed,�,5-Jun-21,Seed,�,Yes,"SaaS B2B marketplaces, integrated ecosystem of service providers, blockchain-based verification, supply-chain, trade finance.",Artificial Intelligence,�,"$940,000 ",Seed,3,GSD Venture Studios,2,"34,280",http://www.distichain.com/,,Dubai,United Arab Emirates
Grant - One Clique Systems,https://www.crunchbase.com/organization/one-clique-systems,One Clique Systems,Grant,"$10,000 ",15-Jan-18,�,�,No,Saas HR Software for SMES,Human Resources,�,"$10,000 ",�,2,MetLife Foundation,2,"35,517",https://1cliquesystems.com/,,Dubai,United Arab Emirates
Seed Round - Hayi,https://www.crunchbase.com/organization/hayi,Hayi,Seed,"$325,000 ",21-Nov-21,Seed,�,Yes,"Hayi is a free, private social network for neighbourhoods in Dubai.",Social,�,"$325,000 ",Seed,1,Falak Startups,2,"35,807",https://www.hayi.app/,,Dubai,United Arab Emirates
Grant - Keeperz,https://www.crunchbase.com/organization/keeperz,Keeperz,Grant,"$125,000 ",12-Jul-22,�,�,No,"Online Marketplace, Food-tech, Dine-in & Takeaway Discounts, Cashback Rewards, Digital Word-of-Mouth, Wallet Payment, Loyalty Programs",Apps,�,"$367,802 ",Seed,4,Microsoft for Startups,1,"36,767",https://www.keeperz.ae/,,Dubai,United Arab Emirates
Grant - Keeperz,https://www.crunchbase.com/organization/keeperz,Keeperz,Grant,"$25,000 ",12-Jul-21,�,�,No,"Online Marketplace, Food-tech, Dine-in & Takeaway Discounts, Cashback Rewards, Digital Word-of-Mouth, Wallet Payment, Loyalty Programs",Apps,�,"$367,802 ",Seed,4,Microsoft for Startups,1,"36,675",https://www.keeperz.ae/,,Dubai,United Arab Emirates
Convertible Note - HydroArtPod,https://www.crunchbase.com/organization/hydroartpod,HydroArtPod,Convertible Note,"$30,000 ",24-Dec-20,�,"$2,200,000 ",No,byAlinePate is a sustainability-focused tech start-up that has invented a new lifestyle ecosystem.,Food and Beverage,�,"$263,018 ",�,4,The Catalyst,1,"37,071",https://www.hydro-art-pod.com/,,Abu Dhabi,United Arab Emirates
Angel Round - HydroArtPod,https://www.crunchbase.com/organization/hydroartpod,HydroArtPod,Angel,"AED235,000",14-Jun-21,Seed,�,Yes,byAlinePate is a sustainability-focused tech start-up that has invented a new lifestyle ecosystem.,Food and Beverage,�,"$263,018 ",�,4,Richard Pate,1,"37,097",https://www.hydro-art-pod.com/,,Abu Dhabi,United Arab Emirates
Pre Seed Round - HuntMent,https://www.crunchbase.com/organization/huntment,HuntMent,Pre-Seed,"AED100,000",1-Jan-22,Seed,"AED10,000,000",Yes,"Platform for Entrepreneurs, Businesses, Franchise Businesses, Investors, Brokers and Advisors to Connect Easily and instantly.",Business Development,�,"AED100,000",Seed,1,Abdullah Aljaberi,1,"38,432",https://www.huntment.com/,,Dubai,United Arab Emirates
Seed Round - Hubpay,https://www.crunchbase.com/organization/hubpay,Hubpay,Seed,�,1-Jan-21,Seed,�,Yes,Hubpay is an independently regulated provider of cross-border money services designed to increase financial inclusion in emerging markets.,Financial Services,$10M to $50M,"$22,020,000 ",Early Stage Venture,5,Zayn Capital,1,"39,978",https://www.hubpay.ae/,,Abu Dhabi,United Arab Emirates
Seed Round - Getbee,https://www.crunchbase.com/organization/getbee,Getbee,Seed,"$1,800,000 ",26-Oct-21,Seed,�,Yes,Getbee is a one-stop solution for all businesses that offer their expertise online.,E-Commerce,Less than $1M,"$1,800,000 ",Seed,1,Altitude Capital,4,"40,115",https://www.getbee.com/,,Dubai,United Arab Emirates
Seed Round - Attarius Network,https://www.crunchbase.com/organization/attarius-network,Attarius Network,Seed,�,30-Jan-22,Seed,�,Yes,The first and only all-in-one NFT ecosystem for game industry,Blockchain,�,"$100,000 ",Seed,2,Sinofy Group,1,"40,337",https://attarius.com/,,Abu Dhabi,United Arab Emirates
Pre Seed Round - Hamples,https://www.crunchbase.com/organization/hamples,Hamples,Pre-Seed,�,18-Jan-22,Seed,�,Yes,Hamples is a digital Sampling solution where in companies can reach their ideal customers and reachbrand awareness.,Brand Marketing,�,�,Seed,1,Nama Ventures,1,"41,534",https://www.hamples.com/,,Dubai,United Arab Emirates
Venture Round - Lewk.com,https://www.crunchbase.com/organization/lewk-13a2,Lewk.com,Venture - Series Unknown,�,9-Feb-22,�,�,Yes,Lewk enhances creators� ability to generate great content and boost the efficiency of their social media profiles.,Blockchain,�,"$3,290,000 ",�,3,MH Ventures,1,"41,787",https://lewk.com/,,Dubai,United Arab Emirates
Seed Round - Rama Vision Portal,https://www.crunchbase.com/organization/rama-vision-portal,Rama Vision Portal,Seed,"$60,000 ",1-Nov-20,Seed,"$500,000 ",Yes,AI Powered Automated Investment Managment Company.,Financial Services,�,"$781,000 ",Seed,2,Sheikh Khalid Bin Humaid Al Qasimi,1,"43,601",https://ramavision.ae/,,Dubai,United Arab Emirates
Pre Seed Round - Smart Crowd,https://www.crunchbase.com/organization/smart-crowd,Smart Crowd,Pre-Seed,�,3-Jan-18,Seed,�,Yes,Smart Crowd is an innovative real estate investment platform.,Financial Services,�,"$3,618,615 ",Seed,5,MetLife Foundation,2,"44,687",https://www.smartcrowd.ae/,,Dubai,United Arab Emirates
Pre Seed Round - syntheticequity,https://www.crunchbase.com/organization/syntheticequity,syntheticequity,Pre-Seed,"$350,000 ",3-Mar-22,Seed,�,Yes,Innovative performance incentives for maximum impact,Consulting,�,"$350,000 ",Seed,1,Paul Lalovich,1,"45,143",https://syntheticequity.io/,,Dubai,United Arab Emirates
Debt Financing - Opontia,https://www.crunchbase.com/organization/opontia,Opontia,Debt Financing,"$21,000,000 ",8-Dec-21,�,�,No,Opontia provides a fast and fair way for small e-commerce business owners to sell their companies.,Brand Marketing,�,"$62,000,000 ",Early Stage Venture,4,Partners for Growth,1,"46,163",https://www.opontia.com/,,Dubai,United Arab Emirates
Pre Seed Round - Zywa (YC W22),https://www.crunchbase.com/organization/zywa-banking-for-teens,Zywa (YC W22),Pre-Seed,"$1,000,000 ",8-Jan-22,Seed,�,Yes,Zywa is the first neobank for teenagers in the Middle East and North Africa region,Finance,�,"$4,000,000 ",Seed,2,Y Combinator,1,"47,425",https://www.zywa.co/,,Dubai,United Arab Emirates
Convertible Note - DHARMA,https://www.crunchbase.com/organization/dharma-c251,DHARMA,Convertible Note,�,7-Jan-22,�,�,No,Travel brand-as-a-service,Hospitality,�,"$3,367,000 ",Seed,3,Shorooq Partners,1,"48,152",https://www.seekdharma.com/,,Abu Dhabi,United Arab Emirates
Pre Seed Round - Verity,https://www.crunchbase.com/organization/verity-c09c,Verity,Pre-Seed,"$800,000 ",15-Nov-21,Seed,�,Yes,Verity is a family banking and financial literacy application,Android,�,"$800,000 ",Seed,1,Beyond Capital,3,"49,126",https://www.veritytheapp.com/,,Dubai,United Arab Emirates
Seed Round - WakeCap Technologies,https://www.crunchbase.com/organization/wakecap-technologies,WakeCap Technologies,Seed,�,20-Nov-21,Seed,�,Yes,WakeCap is an IoT-based enterprise solution to improve safety & productivity in the construction site,Construction,�,"$2,460,000 ",�,8,Wa'ed,1,"50,712",http://www.wakecap.com/,,Dubai,United Arab Emirates
Pre Seed Round - FinFlx,https://www.crunchbase.com/organization/finflx,FinFlx,Pre-Seed,"$1,500,000 ",10-Jan-22,Seed,�,Yes,Flexible pension plans for SMEs in the MENA region.,Financial Services,�,"$1,500,000 ",Seed,2,500 Startups,1,"51,949",https://finflx.com/,,Abu Dhabi,United Arab Emirates
Non Equity Assistance - Finalrentals,https://www.crunchbase.com/organization/finalrentals,Finalrentals,Non-equity Assistance,�,13-Jan-22,�,�,No,Finalrentals is an online platform for car rentals search and comparison and booking in the United Arab Emirates.,Car Sharing,�,�,�,1,Fintech Wales Foundry,1,"51,920",https://www.finalrentals.com/,,Dubai,United Arab Emirates
Pre Seed Round - Famic.io,https://www.crunchbase.com/organization/famic-io,Famic.io,Pre-Seed,"$200,000 ",20-May-21,Seed,"$800,000 ",Yes,Famic - social media influencer recruiting platform,Information Technology,�,"$200,000 ",Seed,1,Sanjar Samiev,1,"53,702",https://www.famic.io/,,Dubai,United Arab Emirates
Seed Round - DHARMA,https://www.crunchbase.com/organization/dharma-c251,DHARMA,Seed,"$2,452,000 ",15-Jul-21,Seed,�,Yes,Travel brand-as-a-service,Hospitality,�,"$3,367,000 ",Seed,3,B&Y Venture Capital Partners,4,"53,724",https://www.seekdharma.com/,,Abu Dhabi,United Arab Emirates
Pre Seed Round - Ibtikaroom,https://www.crunchbase.com/organization/ibtikaroom,Ibtikaroom,Pre-Seed,"$213,000 ",1-Nov-21,Seed,�,Yes,Platform aggregator of instant 3D Digital Twins and Big Data analysis with an interface for all participants in Real Estate market,Big Data,�,"$463,000 ",Seed,3,Flat6Labs,1,"53,647",https://angel.co/company/ibtikaroom,,Dubai,United Arab Emirates
Seed Round - ShopperON Live,https://www.crunchbase.com/organization/shopperon-live,ShopperON Live,Seed,�,1-Jan-22,Seed,"$6,000,000 ",Yes,Live streaming social e-commerce platform.,E-Commerce,�,�,Seed,1,,�,"55,108",https://www.shopperon.ae/,,Dubai,United Arab Emirates
Seed Round - Smart Crowd,https://www.crunchbase.com/organization/smart-crowd,Smart Crowd,Seed,"$18,615 ",1-Nov-18,Seed,�,Yes,Smart Crowd is an innovative real estate investment platform.,Financial Services,�,"$3,618,615 ",Seed,5,Seedstars,1,"56,426",https://www.smartcrowd.ae/,,Dubai,United Arab Emirates
Pre Seed Round - eFunder.ai,https://www.crunchbase.com/organization/funder-ai-technologies,eFunder.ai,Pre-Seed,"$2,300,000 ",1-Oct-20,Seed,�,Yes,Digital Financing Platform for SMEs enabling early payment solutions creating liquidity and lowering financial stress,Financial Services,�,"$2,300,000 ",Seed,1,,�,"57,896",https://efunder.ai/,,Abu Dhabi,United Arab Emirates
Seed Round - Magnitt,https://www.crunchbase.com/organization/magnitt,Magnitt,Seed,"$1,000,000 ",26-Mar-18,Seed,�,Yes,"Magnitt is a startup directory that connects investors, mentors, and emerging companies in the Middle East.",Communities,�,"$1,000,000 ",Seed,1,500 Startups,6,"58,090",https://www.magnitt.com/,,Dubai,United Arab Emirates
Seed Round - Whatfoodsmenu,https://www.crunchbase.com/organization/whatfoodsmenu,Whatfoodsmenu,Seed,"$50,000 ",1-Aug-22,Seed,"$100,000 ",Yes,"Whatfoodsmenu is a marketplace and online ordering platform for restaurants, cafes, cloud kitchens, and food outlets.",Food Delivery,�,"$85,000 ",Seed,2,,�,"58,019",https://whatfoodsmenu.com/,,Dubai,United Arab Emirates
Pre Seed Round - Holo.ae,https://www.crunchbase.com/organization/holo-ae,Holo.ae,Pre-Seed,�,17-Apr-20,Seed,�,Yes,Holo is the first web-based Digital mortgage advice and application platform in the Middle East.,Financial Services,�,�,Seed,1,Oryx Fund,2,"58,884",http://www.holo.ae/,,Dubai,United Arab Emirates
Pre Seed Round - 500 seasons,https://www.crunchbase.com/organization/500-seasons,500 seasons,Pre-Seed,"$200,000 ",1-May-22,Seed,�,Yes,AI Saas for Metaverse,Gaming,�,"$200,000 ",Seed,1,,�,"60,062",https://nearloot.games/,,Dubai,United Arab Emirates
Seed Round - QIDZ LLC,https://www.crunchbase.com/organization/qidz-llc,QIDZ LLC,Seed,"$1,300,000 ",10-Oct-19,Seed,�,Yes,"QiDZ is a mobile platform that allows parents to find, plan, and book kid-friendly activities.",Apps,$1M to $10M,"$1,878,615 ",Seed,7,500 Startups,7,"60,272",http://www.qidz.com/,,Dubai,United Arab Emirates
Seed Round - ASKWHO,https://www.crunchbase.com/organization/askwho,ASKWHO,Seed,"$1,000,000 ",9-Feb-22,Seed,�,Yes,"ASKWHO is a location based group app that allows local people to share, learn and gain knowledge on the topics they care most about.",Consumer Applications,�,"$1,000,000 ",Seed,1,,�,"60,843",https://askwho.com/,,Dubai,United Arab Emirates
Equity Crowdfunding - Udenz,https://www.crunchbase.com/organization/udenz,Udenz,Equity Crowdfunding,"$203,000 ",29-Sep-17,�,�,Yes,Udenz is a dental healthcare engagement platform for dentists and patients.,Dental,$1M to $10M,"$353,000 ",�,2,,�,"61,494",https://udenz.ae/,,Dubai,United Arab Emirates
Equity Crowdfunding - HydroArtPod,https://www.crunchbase.com/organization/hydroartpod,HydroArtPod,Equity Crowdfunding,"$86,000 ",27-May-22,�,�,Yes,byAlinePate is a sustainability-focused tech start-up that has invented a new lifestyle ecosystem.,Food and Beverage,�,"$263,018 ",�,4,,�,"62,097",https://www.hydro-art-pod.com/,,Abu Dhabi,United Arab Emirates
Angel Round - LivLyt,https://www.crunchbase.com/organization/livlyt,LivLyt,Angel,"$500,000 ",1-Jul-22,Seed,�,Yes,"LivLyt offers Access to Latest Tech, on Flexible monthly subscriptions.. Commitment- Free, Worry-Free. Planet-Friendly",Computer,�,"$500,000 ",Seed,1,,�,"62,399",https://www.livlyt.com/,,Dubai,United Arab Emirates
Pre Seed Round - Hoick,https://www.crunchbase.com/organization/hoick,Hoick,Pre-Seed,"$120,000 ",15-Mar-21,Seed,�,Yes,"We empower businesses to listen to customer and employee feedback, understand and analyze what they hear, and take actions.",Analytics,�,"$120,000 ",Seed,1,,�,"63,173",https://www.hoick.io/,,Dubai,United Arab Emirates
Pre Seed Round - DRESOS,https://www.crunchbase.com/organization/dresos,DRESOS,Pre-Seed,"$285,000 ",1-Mar-21,Seed,�,Yes,Dresos is an e-commerce platform that offers free and quick personalized styling services.,Artificial Intelligence,�,"$285,000 ",Seed,1,,�,"63,808",https://www.dresos.com/,,Dubai,United Arab Emirates
Seed Round - Med Reach FZCO,https://www.crunchbase.com/organization/med-reach-fzco,Med Reach FZCO,Seed,"$1,000,000 ",1-Jan-22,Seed,�,Yes,An innovative company offering high-end technology to medical community & health industry to enhance their relationship,Health Care,�,"$2,000,000 ",Seed,2,,�,"63,868",https://www.medreach.com/,,Dubai,United Arab Emirates
Seed Round - Vortex Biotech,https://www.crunchbase.com/organization/vortex-biotech,Vortex Biotech,Seed,�,1-Jul-22,Seed,"$12,000,000 ",Yes,Vortex Biotech is a cutting-edge start-up that develops intelligent solutions for a better life.,Biotechnology,�,�,Seed,2,,�,"64,240",https://www.vortexbiotech.it/,,Dubai,United Arab Emirates
Seed Round - SuperBlock,https://www.crunchbase.com/organization/superblock-d2eb,SuperBlock,Seed,"$500,000 ",1-Nov-21,Seed,�,Yes,Real Estate Investment Platform Incorporating Blockchain Technology,Blockchain,�,"$500,000 ",Seed,1,,�,"64,869",https://www.superblocknft.com/,,Dubai,United Arab Emirates
Pre Seed Round - Savii - Banking for Teens,https://www.crunchbase.com/organization/savii-banking-for-teens,Savii - Banking for Teens,Pre-Seed,�,24-Jan-22,Seed,�,Yes,The first neobank for teens in the GCC,Banking,�,�,Seed,1,,�,"64,952",https://www.saviibanking.com/,,Dubai,United Arab Emirates
Pre Seed Round - Wing.Studio,https://www.crunchbase.com/organization/wing-studio-b10d,Wing.Studio,Pre-Seed,"$750,000 ",1-Sep-21,Seed,"$3,700,000 ",Yes,Employability Platform and App,,�,"$750,000 ",Seed,1,,�,"65,293",https://wing.studio/home,,Dubai,United Arab Emirates
Seed Round - Massarat FZCO,https://www.crunchbase.com/organization/massarat-fzco,Massarat FZCO,Seed,"$200,000 ",1-Apr-22,Seed,"$3,333,333 ",Yes,Empowering every K12 student to prosper as an adult through personalized data.,EdTech,�,"$200,000 ",Seed,1,,�,"65,339",http://www.massarat.com/,,Dubai,United Arab Emirates
