Organization URl,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Operating Status,Founded Date,Exit Date,Closed Date,Company Type,Full Description,Phone Number,Contact Email,LinkedIn,Facebook,Twitter,Website,Investor Type,component--field-formatter 22,component--field-formatter 23,component--field-formatter href 10,component--field-formatter 24,link-accent 10,link-accent href 10,component--field-formatter 25,link-accent 12,link-accent href 12,link-accent 13,link-accent href 13,link-accent 14,link-accent href 14,link-accent 15,link-accent href 15,component--field-formatter 26,component--field-formatter href 11,ng-star-inserted 3,ng-star-inserted 4,ng-star-inserted 5
https://www.crunchbase.com/organization/gate2play,HyperPay,FinTech,Riyadh,"Payment Gateway, PSP, Online Payment, Fintech","6,829",�,Active,Feb 2010,�,�,For Profit,�,+966568606060,mebwini@hyperpay.com,http://www.linkedin.com/company/2416519,https://www.facebook.com/hyperpay,http://twitter.com/hyperpay,http://www.hyperpay.com/,�,�,51-100,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/gate2play,,Muhannad Ebwini,https://www.crunchbase.com/person/muhannad-ebwini,",,,,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,"$50,486,629",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/gate2play,,,
https://www.crunchbase.com/organization/aramco-oil-pipelines,Aramco Oil Pipelines,Chemical,Dhahran,Aramco Oil Pipelines is an oil & gas producer of energy and chemicals.,"7,397",$10B+,Active,1933,�,�,For Profit,Aramco Oil Pipelines is an oil & gas producer of energy and chemicals.,�,�,https://www.linkedin.com/company/aramco/,https://www.facebook.com/aramco/,https://twitter.com/saudi_aramco,https://www.aramco.com/,�,�,10001+,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/aramco-oil-pipelines,,Muhammad Hariri,https://www.crunchbase.com/person/muhammad-hariri-0dce,",,",Energy,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/energy-2b83,Natural Resources,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/natural-resources-26a5,Science and Engineering,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/science-and-engineering,,,"$12,400,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/aramco-oil-pipelines,,,
https://www.crunchbase.com/organization/unifonic,Unifonic,Cloud Computing,Riyadh,Unifonic is a customer engagement platform that unifies communication channels to enable organizations to delight customers.,"7,531",�,Active,2006,�,�,For Profit,"Unifonic  is a leading cloud-based customer communication and engagement solutions (CPaaS)  provider in the MENA region that empowers organizations to engage seamlessly with their customers.
Since it was founded in 2006, Unifonic has consistently developed its product line and its markets to provide an affordable enterprise-grade multilingual, seamless omnichannel communications platform throughout the Middle East.",+966920002687,sales@unifonic.com,https://www.linkedin.com/company/unifonic-inc,https://www.facebook.com/unifonic,https://www.twitter.com/unifonic,http://www.unifonic.com/,�,�,251-500,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/unifonic,",",Ahmed Hamdan,https://www.crunchbase.com/person/ahmed-hamdan,",,,",Information Technology,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/information-technology-4fe3,Internet Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services,Messaging and Telecommunications,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/messaging-and-telecommunications,Software,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/software-85b6,"$146,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/unifonic,,,
https://www.crunchbase.com/organization/stc-pay,stc pay,Banking,Riyadh,"First licensed fintech company in Kingdom by SAMA, the largest digital wallet in the MEMA, and the first Saudi fintech unicorn startup","7,747",�,Active,2018,�,�,For Profit,"In harmony with the Kingdom�s Vision 2030 to progress and diversify digital services, stc pay, a subsidiary of stc Group, is meant to become a pioneering service of the futuristic wave that enables new endeavors and unlocks new possibilities.

We share a future vision with customers and businesses to provide new and innovative technologies and digital experiences. Using stc powerful network, we are able to better connect merchants with their customers through our secure digital wallet solution, stc pay, to empower both sides to complete their transactions quickly, easily, and securely.

stc pay is an integrated payment application that covers your daily needs.",8001180008,marketing@stcpay.com.sa,https://sa.linkedin.com/company/stc-pay,https://www.facebook.com/stcpay.ksa,https://twitter.com/stcpay_ksa,https://stcpay.com.sa/,�,�,251-500,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/stc-pay,",,,,,,,,,,",Abdulkarim Giraud,https://www.crunchbase.com/person/abdulkarim-giraud-1cb7,",,,,,",Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,"$200,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/stc-pay,,,
https://www.crunchbase.com/organization/kingdom-holding-company,Kingdom Holding Company,Angel Investment,Riyadh,Kingdom Holding Company is one of the world�s premier international investment companies.,"8,199",$10M to $50M,Active,1996,"Sep 24, 2008",�,For Profit,"Kingdom Holding Company is one of the world�s premier international investment companies with holdings in some of the world�s best known companies and brands including Apple, Time Warner, Samba, Citigroup, Pepsi, Walt Disney and Four Seasons.

KHC is based in Saudi Arabia and headed by HRH Prince Alwaleed bin Talal. The Company�s vision is simple to �invest in the best� through a strategy of:

� Focussing on core growth and value added industry sectors

� Investing in high performance companies with leading brands

� Maintaining a longer-term investment approach

� Extracting value from undervalued or underperforming assets

� Maximising Prince Alwaleed bin Talal�s unique experience, investment expertise and international network of contacts",+966 11 211 1111,media&info@kingdom.com.sa,https://www.linkedin.com/company/kingdom-holding-company_985798/,,http://twitter.com/Kingdom_KHC,http://www.kingdom.com.sa/,�,�,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/kingdom-holding-company,,Alwaleed Bin Talal,https://www.crunchbase.com/person/alwaleed-bin-talal,",",Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Lending and Investments,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/lending-and-investments,,,,,"SAR5,680,000,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/kingdom-holding-company,�,,
https://www.crunchbase.com/organization/zid,Zid ??,E-Commerce,Riyadh,Zid is an e-commerce in a box - solution that any retailer can use to start their eRetail.,"9,091",�,Active,"Jan 1, 2017",�,�,For Profit,"Zid is an e-commerce in a box - solution that any retailer can use to start their eRetail. Zid helps them to build their own eStores (with their own name and identity) and integrates them with the supply chain players to enable them to manage and with ease. The company aims to enable the retail sector to enter the world of electronic retail in an easy and professional.

Zid was founded in 2017 and based in Riyadh, Ar Riyad, Saudi Arabia.",�,help@zid.sa,https://www.linkedin.com/company/zidapp/,,http://www.twitter.com/zidapp,https://www.zid.sa/,�,�,101-250,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/zid,",",Mazen AlDarrab,https://www.crunchbase.com/person/mazen-aldarrab,",,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Commerce and Shopping,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/commerce-and-shopping,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Internet Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/internet-services,"$8,933,208",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/zid,�,,
https://www.crunchbase.com/organization/acwa-power,ACWA Power,Electrical Distribution,Riyadh,"ACWA Power is a developer, investor, co-owner and operator of a portfolio of power generation and renewable energy.","9,093",�,Active,2004,�,�,For Profit,"ACWA Power is a developer, investor, co-owner and operator of a portfolio of power generation, renewable energy and desalinated water production plants.",+966 11 283 5555,�,https://www.linkedin.com/company/acwa-power-international/about/,https://www.facebook.com/ACWAPower/,https://twitter.com/acwapower,https://www.acwapower.com/,�,�,1001-5000,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/acwa-power,�,,,",",Energy,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/energy-2b83,Sustainability,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/sustainability-5142,,,,,"$238,999,200",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/acwa-power,,,
https://www.crunchbase.com/organization/noon-academy,Noon - The Social Learning Platform,E-Learning,Riyadh,Noon (Noon Academy previously) is loved by 10+ million students in 8 countries.Our goals is to impact 50 million students by 2023.,"9,130",�,Active,2013,�,�,For Profit,"Noon (Noon Academy previously) is a social learning platform making learning a more joyful, collaborative, and innovative experience. We believe technology and great people are what make Noon Academy so successful and a unique platform for social learning.

Loved by 10+ million students across 8 countries, we�re a diverse team of people rooted in different backgrounds but sharing the same vision and passion. Our goals is to impact 50 million students by 2023.",�,aziz@noonacademy.com,https://www.linkedin.com/company/noonacademy/,https://www.facebook.com/Noon-Academy-130602604247940/,https://twitter.com/NoonEdu,https://www.noonacademy.com/,�,�,101-250,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/noon-academy,",",Dr. Aziz Alsaeed,https://www.crunchbase.com/person/aziz-alsaeed,",,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Community and Lifestyle,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/community-and-lifestyle,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Education,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/education-c9b5,"$21,600,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/noon-academy,,,
https://www.crunchbase.com/organization/nearpay,Nearpay,FinTech,Riyadh,"Nearpay is a FinTech company providing payment acceptance solutions to banks, payment providers and startups.","10,115",�,Active,Jan 2020,�,�,For Profit,Nearpay is a FinTech company providing payment acceptance solutions targeting micro-merchant transactions and providing flexibility to mobile merchants.,�,Johrenk7@gmail.com,https://www.linkedin.com/company/near-pay/,,https://twitter.com/trynearpay,https://nearpay.io/,�,�,1-10,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/nearpay,",",Hamza AlFarhan,https://www.crunchbase.com/person/hamza-alfarhan,",,,,,",Artificial Intelligence,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/artificial-intelligence-e551,Data and Analytics,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/data-and-analytics,Financial Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/financial-services-d7b6,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,"SAR10,200,000",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/nearpay,�,,
https://www.crunchbase.com/organization/cura,Cura,Employee Benefits,Riyadh,"Saudi leading telehealth platform, providing consultations, diagnosis and well-being sessions through instant messaging and live video calls","10,506",�,Active,2016,�,�,For Profit,"Cura Healthcare is a Saudi leading telehealth provider that provides digital health and telemedicine software and services. The company has developed state-of-the-art technologies to empower health communications, changing the way patients and doctors interact, diagnose, prescribe, give second opinions, manage chronic diseases, and provide primary health care and well-being therapy sessions. For more information: https://cura.healthcare/en/",+966112071224,info@cura.healthcare,https://www.linkedin.com/company/cura-%D9%83%D9%8A%D9%88%D8%B1%D8%A7,https://www.facebook.com/appcura/,https://twitter.com/AppCura/,http://cura.healthcare/,�,�,11-50,https://www.crunchbase.com/search/people/field/organization.companies/num_employees_enum/cura,",",Mohammad Zekrallah,https://www.crunchbase.com/person/mohammad-zekrallah,",,",Administrative Services,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/administrative-services,Health Care,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/health-care-a53c,Mobile,https://www.crunchbase.com/search/organizations/field/organization.companies/category_groups/mobile-ec09,,,"$5,052,268",https://www.crunchbase.com/search/funding_rounds/field/organization.companies/funding_total/cura,,,
